ID,age_range,datetime,gender,involved_person,legislation,location__latitude,location__longitude,location__street__id,location__street__name,object_of_search,officer_defined_ethnicity,operation,operation_name,outcome,outcome_linked_to_object_of_search,outcome_object__id,outcome_object__name,removal_of_more_than_outer_clothing,self_defined_ethnicity,type
89,over 34,2019-12-14T12:20:00+00:00,Male,TRUE,Firearms Act 1968 (section 47),51.514728,0.008098,955319,On or near Bus/Coach Station,Firearms,White,FALSE,null,Arrest,null,bu-arrest,Arrest,null,White - English/Welsh/Scottish/Northern Irish/British,Person search
90,18-24,2019-12-12T13:15:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.525042,0.019162,962054,On or near Grant Street,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person search
91,25-34,2019-12-16T12:00:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.533481,0.028793,963431,On or near Kings Court,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
92,18-24,2019-12-16T13:15:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.533481,0.028793,963431,On or near Kings Court,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Pakistani,Person search
93,null,2019-12-17T08:55:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.517666,0.012998,962194,On or near Supermarket,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Pakistani,Person search
94,null,2019-12-16T17:22:00+00:00,null,FALSE,Misuse of Drugs Act 1971 (section 23),51.530987,0.018056,963784,On or near Parking Area,Controlled drugs,null,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,null,Vehicle search
95,18-24,2019-12-16T17:30:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.525084,0.02088,962112,On or near Gordon Street,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person search
96,over 34,2019-12-17T00:33:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.533481,0.028793,963431,On or near Kings Court,Controlled drugs,Black,FALSE,null,Arrest,null,bu-arrest,Arrest,null,Black/African/Caribbean/Black British - African,Person and Vehicle search
97,over 34,2019-12-17T01:00:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.526613,0.040064,962248,On or near Blenheim Road,Evidence of offences under the Act,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Indian,Person search
98,Oct-17,2019-12-17T16:55:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.529259,0.025433,963591,On or near The Broadway,Controlled drugs,Black,FALSE,null,Summons / charged by post,null,bu-summons,Summons / charged by post,null,Black/African/Caribbean/Black British - Caribbean,Person search
99,18-24,2019-12-17T18:37:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.531395,0.019443,963787,On or near Ashburton Terrace,Controlled drugs,null,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
100,over 34,2019-12-17T00:30:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.531494,0.02931,963605,On or near Sports/Recreation Area,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Bangladeshi,Person and Vehicle search
101,18-24,2019-12-17T23:50:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.516347,0.03936,962344,On or near Giralda Close,Controlled drugs,White,FALSE,null,Community resolution,null,bu-community-resolution,Community resolution,null,Other ethnic group - Not stated,Person search
102,over 34,2019-12-13T19:00:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.536375,0.010132,963739,On or near Gift Lane,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - African,Person search
103,Oct-17,2019-12-06T16:00:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.528646,0.037444,962220,On or near Moat Drive,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person search
104,18-24,2019-12-19T02:20:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.526086,0.030035,962307,On or near Barking Road,Controlled drugs,Asian,FALSE,null,Community resolution,null,bu-community-resolution,Community resolution,null,Other ethnic group - Not stated,Person and Vehicle search
105,18-24,2019-12-13T21:15:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.528646,0.037444,962220,On or near Moat Drive,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Bangladeshi,Person search
106,18-24,2019-12-20T14:15:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.531395,0.019443,963787,On or near Ashburton Terrace,Offensive weapons,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - Any other White background,Person and Vehicle search
107,18-24,2019-12-20T14:10:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.531395,0.019443,963787,On or near Ashburton Terrace,Offensive weapons,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person and Vehicle search
108,over 34,2019-12-20T09:30:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.528646,0.037444,962220,On or near Moat Drive,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Indian,Person search
109,over 34,2019-12-17T11:45:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.536545,0.021157,963672,On or near Vicar'S Close,Stolen goods,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person search
110,Oct-17,2019-12-21T21:22:00+00:00,Male,TRUE,Criminal Justice and Public Order Act 1994 (section 60),51.536893,0.020292,963708,On or near Portway,Anything to threaten or harm anyone,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
111,18-24,2019-12-21T21:20:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.536893,0.020292,963708,On or near Portway,Offensive weapons,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person search
112,18-24,2019-12-21T22:01:00+00:00,Male,TRUE,Criminal Justice and Public Order Act 1994 (section 60),51.511622,0.03079,955230,On or near Shipman Road,Anything to threaten or harm anyone,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Pakistani,Person and Vehicle search
113,18-24,2019-12-21T22:13:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.511622,0.03079,955230,On or near Shipman Road,Controlled drugs,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - Any other White background,Person search
114,over 34,2019-12-21T16:40:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.533481,0.028793,963431,On or near Kings Court,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - African,Person search
115,18-24,2019-12-21T17:57:00+00:00,Male,TRUE,Criminal Justice and Public Order Act 1994 (section 60),51.529807,0.028053,963596,On or near Edinburgh Road,Anything to threaten or harm anyone,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Pakistani,Person search
116,25-34,2019-12-21T18:12:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.530172,0.037642,963572,On or near Central Park Road,Offensive weapons,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - Any other White background,Person search
117,25-34,2019-12-21T00:15:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.530172,0.037642,963572,On or near Central Park Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person search
118,18-24,2019-12-21T23:16:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.526086,0.030035,962307,On or near Barking Road,Controlled drugs,Asian,FALSE,null,Community resolution,null,bu-community-resolution,Community resolution,null,Asian/Asian British - Bangladeshi,Person and Vehicle search
119,18-24,2019-12-22T01:08:00+00:00,Male,TRUE,Criminal Justice and Public Order Act 1994 (section 60),51.520549,0.003771,962157,On or near Bidder Street,Anything to threaten or harm anyone,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
120,18-24,2019-12-21T17:45:00+00:00,Male,TRUE,Criminal Justice and Public Order Act 1994 (section 60),51.520549,0.003771,962157,On or near Bidder Street,Anything to threaten or harm anyone,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
121,18-24,2019-12-21T17:50:00+00:00,Male,TRUE,Criminal Justice and Public Order Act 1994 (section 60),51.520549,0.003771,962157,On or near Bidder Street,Anything to threaten or harm anyone,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
122,18-24,2019-12-21T17:50:00+00:00,Male,TRUE,Criminal Justice and Public Order Act 1994 (section 60),51.520549,0.003771,962157,On or near Bidder Street,Anything to threaten or harm anyone,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person search
123,18-24,2019-12-21T17:50:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.520549,0.003771,962157,On or near Bidder Street,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - African,Person search
124,18-24,2019-12-21T23:15:00+00:00,Male,TRUE,Criminal Justice and Public Order Act 1994 (section 60),51.534007,0.033733,963491,On or near Rochester Avenue,Anything to threaten or harm anyone,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person and Vehicle search
125,over 34,2019-12-22T01:00:00+00:00,Male,TRUE,Criminal Justice and Public Order Act 1994 (section 60),51.524886,0.034422,962210,On or near Tunmarsh Lane,Anything to threaten or harm anyone,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person and Vehicle search
126,25-34,2019-12-22T02:50:00+00:00,Male,TRUE,Criminal Justice and Public Order Act 1994 (section 60),51.51718,0.008797,962166,On or near Malmesbury Road,Anything to threaten or harm anyone,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person and Vehicle search
127,18-24,2019-12-22T18:06:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.527361,0.023893,962308,On or near Balaam Street,Offensive weapons,Other,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - African,Person search
128,18-24,2019-12-22T17:55:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.527361,0.023893,962308,On or near Balaam Street,Offensive weapons,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - African,Person search
129,25-34,2019-12-22T22:23:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.530671,0.010775,963773,On or near Corporation Street,Controlled drugs,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - Any other White background,Person search
130,25-34,2019-12-22T23:46:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.529259,0.025433,963591,On or near The Broadway,Stolen goods,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - Any other White background,Person search
131,25-34,2019-12-22T22:45:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.531507,0.002392,963796,On or near Abbey Road,Controlled drugs,Black,FALSE,null,Community resolution,null,bu-community-resolution,Community resolution,null,Black/African/Caribbean/Black British - African,Person search
132,over 34,2019-12-23T17:30:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.533353,0.033084,963476,On or near Waghorn Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person search
133,18-24,2019-12-23T15:22:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.520111,0.01044,962034,On or near Tyas Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Any other ethnic group,Person and Vehicle search
134,18-24,2019-12-23T15:45:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.524281,0.005866,962144,On or near Godbold Road,Controlled drugs,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - English/Welsh/Scottish/Northern Irish/British,Person and Vehicle search
135,18-24,2019-12-23T16:42:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.524281,0.005866,962144,On or near Godbold Road,Controlled drugs,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - English/Welsh/Scottish/Northern Irish/British,Person and Vehicle search
136,25-34,2019-12-25T14:34:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.515728,0.009036,955399,On or near A13,Offensive weapons,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
137,18-24,2019-12-23T15:30:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.524281,0.005866,962144,On or near Godbold Road,Controlled drugs,White,FALSE,null,Arrest,null,bu-arrest,Arrest,null,White - English/Welsh/Scottish/Northern Irish/British,Person and Vehicle search
138,25-34,2019-12-25T23:35:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.530076,0.033817,963569,On or near Credon Road,Controlled drugs,Asian,FALSE,null,Community resolution,null,bu-community-resolution,Community resolution,null,Asian/Asian British - Any other Asian background,Person and Vehicle search
139,over 34,2019-12-26T17:45:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.529259,0.025433,963591,On or near The Broadway,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - African,Person search
140,over 34,2019-12-20T21:06:00+00:00,Female,TRUE,Misuse of Drugs Act 1971 (section 23),51.533353,0.033084,963476,On or near Waghorn Road,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person search
141,18-24,2019-12-21T23:12:00+00:00,Male,TRUE,Criminal Justice and Public Order Act 1994 (section 60),51.534007,0.033733,963491,On or near Rochester Avenue,Anything to threaten or harm anyone,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person and Vehicle search
142,18-24,2019-12-22T00:59:00+00:00,Male,TRUE,Criminal Justice and Public Order Act 1994 (section 60),51.524886,0.034422,962210,On or near Tunmarsh Lane,Anything to threaten or harm anyone,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Pakistani,Person and Vehicle search
143,Oct-17,2019-12-27T02:15:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.530172,0.037642,963572,On or near Central Park Road,Offensive weapons,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person and Vehicle search
144,18-24,2019-12-27T01:50:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.522374,0.026266,962268,On or near Wanlip Road,Controlled drugs,Black,FALSE,null,Penalty Notice for Disorder,null,bu-penalty-notice,Penalty Notice for Disorder,null,Mixed/Multiple ethnic groups - White and Black African,Person and Vehicle search
145,18-24,2019-12-27T01:50:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.522374,0.026266,962268,On or near Wanlip Road,Controlled drugs,White,FALSE,null,Penalty Notice for Disorder,null,bu-penalty-notice,Penalty Notice for Disorder,null,White - Any other White background,Person and Vehicle search
146,18-24,2019-12-27T01:45:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.522374,0.026266,962268,On or near Wanlip Road,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person and Vehicle search
147,18-24,2019-12-26T14:45:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.524281,0.005866,962144,On or near Godbold Road,Offensive weapons,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person search
148,Oct-17,2019-12-26T03:46:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.524247,0.039612,962245,On or near Boundary Road,Evidence of offences under the Act,Black,FALSE,null,Arrest,null,bu-arrest,Arrest,null,Other ethnic group - Not stated,Person search
149,18-24,2019-12-26T22:48:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.530172,0.037642,963572,On or near Central Park Road,Offensive weapons,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - Any other White background,Person search
150,18-24,2019-12-27T16:56:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.519078,0.019792,962111,On or near Hayday Road,Controlled drugs,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - English/Welsh/Scottish/Northern Irish/British,Person and Vehicle search
151,over 34,2019-12-27T16:53:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.519078,0.019792,962111,On or near Hayday Road,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
152,null,2019-12-27T16:53:00+00:00,null,FALSE,Misuse of Drugs Act 1971 (section 23),51.519078,0.019792,962111,On or near Hayday Road,Controlled drugs,null,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,null,Vehicle search
153,18-24,2019-12-27T19:25:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.530091,0.023105,963774,On or near Parking Area,Controlled drugs,Asian,FALSE,null,Penalty Notice for Disorder,null,bu-penalty-notice,Penalty Notice for Disorder,null,Asian/Asian British - Pakistani,Person and Vehicle search
154,18-24,2019-12-27T19:25:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.530091,0.023105,963774,On or near Parking Area,Controlled drugs,Asian,FALSE,null,Penalty Notice for Disorder,null,bu-penalty-notice,Penalty Notice for Disorder,null,Other ethnic group - Not stated,Person search
155,18-24,2019-12-27T23:00:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.532838,0.022319,963675,On or near Terrace Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person and Vehicle search
156,18-24,2019-12-27T23:10:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.533732,0.0268,963445,On or near Carter Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person search
157,null,2019-12-29T01:17:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.534187,0.012891,963725,On or near Ladywell Street,Evidence of offences under the Act,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - Any other White background,Person search
158,over 34,2019-12-29T01:17:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.534187,0.012891,963725,On or near Ladywell Street,Evidence of offences under the Act,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - Any other White background,Person search
159,18-24,2019-12-29T16:00:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.536545,0.021157,963672,On or near Vicar'S Close,Stolen goods,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person search
160,null,2019-12-30T11:40:00+00:00,null,FALSE,Misuse of Drugs Act 1971 (section 23),51.530172,0.037642,963572,On or near Central Park Road,Controlled drugs,null,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,null,Vehicle search
161,over 34,2019-12-27T13:05:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.521767,0.021309,962122,On or near Barking Road,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person search
162,25-34,2019-12-30T00:24:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.531395,0.019443,963787,On or near Ashburton Terrace,Offensive weapons,White,FALSE,null,Arrest,null,bu-arrest,Arrest,null,White - English/Welsh/Scottish/Northern Irish/British,Person search
163,25-34,2019-12-30T00:45:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.536545,0.021157,963672,On or near Vicar'S Close,Controlled drugs,White,FALSE,null,Arrest,null,bu-arrest,Arrest,null,White - Any other White background,Person search
164,18-24,2019-12-28T16:25:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.524281,0.005866,962144,On or near Godbold Road,Controlled drugs,Black,FALSE,null,Penalty Notice for Disorder,null,bu-penalty-notice,Penalty Notice for Disorder,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
165,over 34,2019-12-29T17:10:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.532205,0.022002,963679,On or near Pelly Road,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
166,18-24,2019-12-30T18:29:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.536438,0.01276,923841,On or near Richford Road,Stolen goods,White,FALSE,null,Community resolution,null,bu-community-resolution,Community resolution,null,Other ethnic group - Not stated,Person and Vehicle search
167,25-34,2019-12-19T13:00:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.524514,0.009567,962084,On or near Alden Avenue,Stolen goods,White,FALSE,null,Summons / charged by post,null,bu-summons,Summons / charged by post,null,White - English/Welsh/Scottish/Northern Irish/British,Person search
168,18-24,2019-12-13T15:30:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.531395,0.019443,963787,On or near Ashburton Terrace,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Bangladeshi,Person and Vehicle search
169,over 34,2019-12-31T10:20:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.530172,0.037642,963572,On or near Central Park Road,Controlled drugs,White,FALSE,null,Summons / charged by post,null,bu-summons,Summons / charged by post,null,White - Any other White background,Person search
170,over 34,2019-12-28T22:31:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.536545,0.021157,963672,On or near Vicar'S Close,Offensive weapons,Black,FALSE,null,Community resolution,null,bu-community-resolution,Community resolution,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
171,18-24,2019-12-31T23:23:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.530172,0.037642,963572,On or near Central Park Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Bangladeshi,Person and Vehicle search
172,18-24,2019-12-31T23:23:00+00:00,Female,TRUE,Misuse of Drugs Act 1971 (section 23),51.530172,0.037642,963572,On or near Central Park Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person and Vehicle search
173,18-24,2019-12-31T16:24:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.531507,0.002392,963796,On or near Abbey Road,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
174,25-34,2019-12-22T18:12:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.530172,0.037642,963572,On or near Central Park Road,Offensive weapons,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - Any other White background,Person and Vehicle search
175,18-24,2019-12-22T22:00:00+00:00,Female,TRUE,Misuse of Drugs Act 1971 (section 23),51.511622,0.03079,955230,On or near Shipman Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Indian,Person search
